country,year,suicide_rate,psychiatrists_per_100k,mh_units_gen_hospitals,govt_mh_expenditure_pct,alcohol_consumption_L,govt_health_exp_pct_gdp
ABW,2000,,,,,7.63312195,
ABW,2001,,,,,7.63312195,
ABW,2002,,,,,7.599015815,
ABW,2003,,,,,7.265760104,
ABW,2004,,,,,7.025255801,
ABW,2005,,,,,6.694125514,
ABW,2006,,,,,6.809284088,
ABW,2007,,,,,6.835783041,
ABW,2008,,,,,6.916362615,
ABW,2009,,,,,6.793108523,
ABW,2010,,,,,8.400006725,
ABW,2011,,,,,10.008723159,
ABW,2012,,,,,11.745990705,
ABW,2013,,,,,11.793929338,
ABW,2014,,,,,11.782093816,
ABW,2015,,,,,11.838488118,
ABW,2016,,,,,12.136194253,
ABW,2017,,,,,12.740862073,
ABW,2018,,,,,13.484068229,
ABW,2019,,,,,12.834734628,
ABW,2020,,,,,12.234972212,
ABW,2021,,,,,11.578303343,
ABW,2022,,,,,11.987176982,
ABW,2023,,,,,11.964553541,
ABW,2024,,,,,11.964553541,
AFG,2000,7.243332533,,,,0.00338867,
AFG,2001,7.326203881333334,,,,0.00338867,
AFG,2002,7.165436085666666,,,,0.003952935,0.08418062
AFG,2003,7.092571096666667,,,,0.005954566,0.65096337
AFG,2004,7.069444225666667,,,,0.008932828,0.54292566
AFG,2005,6.940503869666666,,,,0.01302097,0.5291841
AFG,2006,6.6399944763333325,,,,0.016956882,0.49784002
AFG,2007,6.5077389803333325,,,,0.018737782,0.55994755
AFG,2008,6.333056919666667,,,,0.019294278,0.62779975
AFG,2009,5.921958215,,,,0.042861474,0.53190351
AFG,2010,5.759674059000001,,,,0.073829323,0.46915731
AFG,2011,5.908168190333334,,,,0.103777492,0.47999981
AFG,2012,5.789386474666667,,,,0.107259045,0.34288675
AFG,2013,5.699810700333333,,,,0.101695665,0.44335932
AFG,2014,5.549653752333334,,,,0.089394498,0.47265697
AFG,2015,5.334255916333333,,,,0.077589898,0.52267277
AFG,2016,5.337132459333333,0.2312,0.01186,,0.066258064,0.60012972
AFG,2017,5.484628124333334,,,,0.060269275,0.64313394
AFG,2018,5.439870675666666,,,,0.060513186,0.55239552
AFG,2019,5.384626239666667,,,,0.054668276,0.49705607
AFG,2020,5.349134511333333,,,,0.050612082,1.18621242
AFG,2021,5.330588440333333,,,,0.042608649,0.71036398
AFG,2022,,,,,0.036828759,0.18147056
AFG,2023,,,,,0.030239103,0.24774949
AFG,2024,,,,,0.030239103,
AGO,2000,17.790367556,,,,1.690027759,0.98097837
AGO,2001,16.966154411666665,,,,1.690027759,1.80684185
AGO,2002,16.578030661,,,,1.881264956,1.15548134
AGO,2003,17.01078668566667,,,,1.994494538,1.28335834
AGO,2004,16.938742466333334,,,,3.822185971,1.4713583
AGO,2005,15.890260182,,,,5.718777595,1.14204562
AGO,2006,16.318396267,,,,7.585087837,1.28968012
AGO,2007,15.230973943333334,,,,7.807948549,1.53876388
AGO,2008,14.360401643666668,,,,7.960067587,1.91652381
AGO,2009,13.995978506333332,,,,8.27122331,2.23769045
AGO,2010,13.301577659333333,,,,8.481110228,1.46826649
AGO,2011,13.384580413999998,,,,8.727592883,1.52542961
AGO,2012,13.152313008,,,,8.720430094,1.39434171
AGO,2013,13.289914608666669,,,,8.709945567,1.5071826
AGO,2014,12.352057051666668,,,,8.14359551,1.16797769
AGO,2015,12.628293342,,,,7.435354313,1.08924341
AGO,2016,12.507071223666665,0.05743,,,6.710663127,1.05520773
AGO,2017,12.349811852666667,,,,6.427804127,1.12824702
AGO,2018,13.468189773666666,,,,6.086395133,0.97981894
AGO,2019,14.060478805,,,,5.320127009,1.00303984
AGO,2020,14.367455087000002,,,,4.576291303,1.46055436
AGO,2021,15.119874865666667,,,,4.104062,1.51676536
AGO,2022,,,,,3.977260025,1.30711842
AGO,2023,,,,,3.778472696,1.1340301
AGO,2024,,,,,3.778472696,
ALB,2000,5.1499163690000005,,,,4.79313826,2.73330545
ALB,2001,4.442197066333333,,,,4.79313826,2.72089767
ALB,2002,4.508882423,,,,4.902547996,2.55822611
ALB,2003,4.624292255333334,,,,4.93049982,2.63895035
ALB,2004,4.533958765666667,,,,5.120242771,2.7876544
ALB,2005,6.933065278,,,,5.298779704,2.65562892
ALB,2006,6.892836784333333,,,,5.544122576,2.60609818
ALB,2007,6.974292866666667,,,,5.732252912,2.71601963
ALB,2008,6.977170397999999,,,,5.90208636,2.27345061
ALB,2009,6.837208662999999,,,,5.827175035,2.33076763
ALB,2010,6.513063028666667,,,,5.675308306,2.35073113
ALB,2011,6.621996953666667,,,,5.233942489,2.36980104
ALB,2012,4.110111741,,,,4.955797562,2.42631125
ALB,2013,4.069914342666666,,,,4.650249032,2.54741931
ALB,2014,3.8090085429999996,,,,4.632489838,2.56312561
ALB,2015,3.5910786906666665,,,,4.603097368,2.67593837
ALB,2016,3.4568306653333334,1.47091,0.06841,,4.642766312,2.84762025
ALB,2017,3.2954455360000003,,,,4.638907145,2.74185801
ALB,2018,3.142585174,,,,4.687684543,2.84073949
ALB,2019,3.0254636070000003,,,,4.542549537,2.89433575
ALB,2020,2.5066101396666665,,,,4.438006483,2.97455955
ALB,2021,2.1437147083333334,,,,4.254108944,2.91998744
ALB,2022,,,,,4.25939778,3.72758842
ALB,2023,,,,,4.269192139,3.49766994
ALB,2024,,,,,4.269192139,
AND,2000,,,,,13.981627515,3.88115096
AND,2001,,,,,13.981627515,3.82370234
AND,2002,,,,,13.84752933,3.97611761
AND,2003,,,,,13.57514865,3.54889631
AND,2004,,,,,13.468450197,3.27483177
AND,2005,,,,,13.420485471,3.58344364
AND,2006,,,,,13.313577078,2.96214485
AND,2007,,,,,13.157500057,2.95692062
AND,2008,,,,,12.869998173,3.70078373
AND,2009,,,,,12.562051844,4.13392305
AND,2010,,,,,12.398609983,5.68869781
AND,2011,,,,,12.221772983,5.60742188
AND,2012,,,,,12.031743246,4.67067814
AND,2013,,,,,11.949366032,4.76766396
AND,2014,,,,,11.927626324,4.8130722
AND,2015,,,,,12.047088918,4.97208548
AND,2016,,,,,12.091431427,5.00518513
AND,2017,,,,,12.023544243,5.08694077
AND,2018,,,,,11.934654725,5.21907949
AND,2019,,,,,11.392622088,5.22278023
AND,2020,,,,,11.236514221,6.37670708
AND,2021,,,,,11.264510539,6.16799164
AND,2022,,,,,11.604962216,5.53698158
AND,2023,,,,,11.585363166,5.45127535
AND,2024,,,,,11.585363166,
ARE,2000,2.2409241876666663,,,,0.467565966,1.64852011
ARE,2001,2.193848726666667,,,,0.467565966,1.91321862
ARE,2002,2.096658939333333,,,,0.46798613,1.66402185
ARE,2003,1.9935432759999998,,,,0.500736949,1.62154937
ARE,2004,2.0104559500000003,,,,0.592193851,1.40612853
ARE,2005,1.9974386373333335,,,,0.67447701,1.3188324
ARE,2006,1.9202117989999998,,,,0.693888755,1.33256018
ARE,2007,1.6358833276666667,,,,0.740397137,1.50558293
ARE,2008,1.673417827333333,,,,0.71336734,1.8716644
ARE,2009,1.7760271763333335,,,,0.778305144,2.98415613
ARE,2010,1.9087685819999998,,,,0.793938259,2.65301466
ARE,2011,1.9820565416666664,,,,0.874056628,2.58301282
ARE,2012,2.0186123410000003,,,,0.895843357,2.42006803
ARE,2013,1.9516124146666665,,,,0.912936559,2.52060986
ARE,2014,1.8506285266666669,,,,0.935292872,2.50834441
ARE,2015,1.8491943016666665,,,,0.94958656,2.46962833
ARE,2016,1.7938659706666666,1.6495,0.05462,,0.973392818,2.97157669
ARE,2017,1.8577350553333334,,,,0.980848271,2.19714189
ARE,2018,1.8702166063333336,,,,0.838460853,2.1139648
ARE,2019,1.8274131263333333,,,,0.804623154,2.2531426
ARE,2020,1.828411363,,,,0.753547188,3.55229998
ARE,2021,1.5206661739999998,,,,0.811192087,3.40082932
ARE,2022,,,,,0.698264795,3.0025692
ARE,2023,,,,,0.642854173,3.31956935
ARE,2024,,,,,0.642854173,
ARG,2000,9.478816679333333,,,,5.55225004,4.49895144
ARG,2001,10.617160100333335,,,,5.55225004,4.4767065
ARG,2002,10.521031108,,,,5.219487245,3.87838697
ARG,2003,9.873031750666668,,,,5.041849997,3.76298237
ARG,2004,8.841977133999999,,,,5.153202235,3.43900657
ARG,2005,8.681632969666667,,,,5.316344794,3.93187881
ARG,2006,8.673049799666666,,,,5.650362216,4.04397869
ARG,2007,8.341059281333335,,,,5.960077769,4.24544716
ARG,2008,8.711880641,,,,6.177561521,4.47786331
ARG,2009,8.446779143,,,,6.360797127,5.74631262
ARG,2010,8.517355003666665,,,,6.603545118,5.56987906
ARG,2011,8.596596000666667,,,,6.944213844,5.71961212
ARG,2012,9.217114983666667,,,,7.183228909,6.14357281
ARG,2013,8.765165384666666,,,,7.230361373,6.2950058
ARG,2014,9.495076496000001,,,,7.403460732,6.40571356
ARG,2015,8.673565694999999,,,,7.341357956,6.80309105
ARG,2016,8.280659336333335,21.7054,1.07099,,7.360456839,6.5777607
ARG,2017,8.926936688666666,,,,7.096900066,6.68290806
ARG,2018,9.226808732333334,,,,6.811082562,6.11101341
ARG,2019,9.151710218,,,,6.643776678,6.2193737
ARG,2020,7.924258049999999,,,,6.90638203,6.99057627
ARG,2021,7.734183381333334,,,,7.43367636,6.34810066
ARG,2022,,,,,7.589125577,5.95705795
ARG,2023,,,,,7.09581627,6.18493843
ARG,2024,,,,,7.09581627,
ARM,2000,3.8236600243333334,,,,3.915402364,0.95468217
ARM,2001,3.3807693266666665,,,,3.915402364,1.33908558
ARM,2002,3.636892006,,,,4.251576371,1.17184055
ARM,2003,2.8034340859999998,,,,4.72183859,1.20635736
ARM,2004,3.8879848403333335,,,,5.288577626,1.29411483
ARM,2005,4.159132085666667,,,,5.626185418,1.47841108
ARM,2006,6.025920705333333,,,,5.976131384,1.58640754
ARM,2007,5.539289027,,,,6.193238241,1.61389112
ARM,2008,4.514300265666667,,,,6.24223349,1.48813355
ARM,2009,4.534225206333333,,,,6.189473473,1.81169069
ARM,2010,6.639586837333334,,,,6.074275277,1.68628836
ARM,2011,5.960181502,,,3.38,6.455278274,1.6728667
ARM,2012,6.917308824666667,,,,6.836636366,1.57816982
ARM,2013,5.582366186000001,,,,7.12024298,1.37565804
ARM,2014,4.998549583333333,,,,7.126771399,1.50548005
ARM,2015,5.039786788333333,,,,7.193859953,1.61020839
ARM,2016,5.199510023,3.83963,0.06856,,7.823934437,1.63735199
ARM,2017,2.9094080593333334,,,,8.427907442,1.37250984
ARM,2018,2.023528638,,,,9.608386588,1.23468125
ARM,2019,2.3952659953333333,,,,10.039647924,1.41167367
ARM,2020,1.8011933903333333,,,,9.222367108,2.35673714
ARM,2021,2.079368895,,,,7.745143504,2.18868065
ARM,2022,,,,,6.555398625,1.71535587
ARM,2023,,,,,6.600258195,1.46441019
ARM,2024,,,,,6.600258195,
ATG,2000,2.279392420666667,,,,6.798633461,2.50122428
ATG,2001,2.152451613666667,,,,6.798633461,2.92959142
ATG,2002,1.4198331306666667,,,,6.813097089,2.80217075
ATG,2003,1.6265802573333332,,,,6.813019044,3.01983333
ATG,2004,2.186269068,,,,7.052665441,2.6607554
ATG,2005,1.4836528766666666,,,,7.245246762,2.48221588
ATG,2006,0.444508122,,,,7.577745385,2.17760348
ATG,2007,0.34923202433333334,,,,7.841636065,2.01404786
ATG,2008,0.26261015,,,,7.831092469,1.87520587
ATG,2009,0.0,,,,7.59659877,2.03098321
ATG,2010,0.0,,,,7.189623646,2.77452183
ATG,2011,0.0,,,,7.100313846,2.73921561
ATG,2012,0.0,,,,7.188877051,2.71204996
ATG,2013,0.0,,,,7.264296843,2.75379777
ATG,2014,0.4100436746666667,,,,7.426608512,3.14859223
ATG,2015,0.39529055900000004,,,,7.498386015,2.93535352
ATG,2016,0.47287886500000004,1.00077,,,7.813159789,2.75887132
ATG,2017,0.0,,,,8.151724656,2.61894512
ATG,2018,0.0,,,,8.666535141,2.81542587
ATG,2019,0.0,,,,8.400089206,2.49952674
ATG,2020,0.6925685006666665,,,,8.211906596,3.58067584
ATG,2021,1.3444859630000001,,,,7.9661662,3.06314707
ATG,2022,,,,,8.207983708,2.85039449
ATG,2023,,,,,8.22306242,2.30815935
ATG,2024,,,,,8.22306242,
AUS,2000,11.977115206333332,,,,11.424874725,5.45143652
AUS,2001,12.139916774333335,,,,11.424874725,5.45680571
AUS,2002,11.283107135,,,,11.190756746,5.66308641
AUS,2003,10.263662615333333,,,,11.075994033,5.61926126
AUS,2004,9.803894047333333,,,,11.083139056,5.79416561
AUS,2005,10.621482686333332,,,,11.209487794,5.72175741
AUS,2006,10.1500217,,,,11.274606872,5.71296024
AUS,2007,10.480269621666666,,,,11.382330634,5.8701992
AUS,2008,11.017151751999998,,,,11.359263579,5.96531916
AUS,2009,10.461761172000001,,,,11.259708148,6.23710108
AUS,2010,10.899967753333334,,,,11.014213602,6.0919981
AUS,2011,10.440016503666667,,,7.64,10.776048234,6.2522192
AUS,2012,10.938280479666666,,,,10.590868336,6.17619228
AUS,2013,10.712120259,,,,10.445512227,5.92386961
AUS,2014,11.830933808,,,,10.456214678,6.89110136
AUS,2015,12.323469231999999,13.52546,0.60085,,10.503206628,7.2235322
AUS,2016,11.337133675333334,,,,10.653080506,7.20443821
